,movie_title,closeness
411,The Mummy: Tomb of the Dragon Emperor,0.23091333885095533
412,The Infiltrator,0.2308867360310564
413,White Squall,0.230805572798124
414,The Score,0.2307987989319459
415,Tootsie,0.23079473461223918
416,The House Bunny,0.2306856137861725
417,The Hurt Locker,0.2306688638625324
418,Sicko,0.23063696511089443
419,The Last Samurai,0.2306231710561319
420,Spy Kids 3-D: Game Over,0.23061849093040895
421,I'm Not There.,0.23059779984826542
422,Philadelphia,0.23058080360221894
423,The Stewardesses,0.23055666400638478
424,Super,0.23055383129871018
425,The Thing,0.23045727291537343
426,The Good Girl,0.23042808371020654
427,Monster House,0.2304229109396708
428,Mud,0.23042155616643514
429,Stop-Loss,0.2304193392647769
430,Mystery Men,0.23038460780546433
431,Now You See Me,0.23035788182436223
432,The Thin Red Line,0.23026809730720338
433,Marci X,0.23023558274954922
434,The Lunchbox,0.2301791749184673
435,Twister,0.23017252421349252
436,Superman Returns,0.23015577428985254
437,The Lone Ranger,0.23012289024858854
438,Sleeper,0.23008852827288573
439,Soul Plane,0.2300177105810253
440,Kabhi Alvida Naa Kehna,0.2300125378104895
441,Thirteen,0.2299994827229463
442,Red Sonja,0.22995526785098472
443,The Pirate,0.22988235641866916
444,Unbroken,0.2298733656508329
445,The Chronicles of Narnia: The Voyage of the Dawn Treader,0.22987090242676833
446,Muppets from Space,0.229816957819751
447,The League of Extraordinary Gentlemen,0.22974884967436177
448,The Women,0.22968813120116655
449,Killer Elite,0.2296591883184062
450,Time Bandits,0.22960130255288544
451,Rambo: First Blood Part II,0.22958824746534237
452,The Raid,0.22958418314563556
453,The Next Three Days,0.22957063541327974
454,Your Sister's Sister,0.22956016671100474
455,San Andreas,0.22954538736661645
456,Ponyo,0.22953775137201585
457,Yes Man,0.2295325786014799
458,Slow Burn,0.22949452178967988
459,Vanilla Sky,0.22946348516646484
460,What's Eating Gilbert Grape,0.22943786763619173
461,The Naked Gun 33⅓: The Final Insult,0.22942678312790069
